	0
emplacements	1
employed	4
employment	1
empress	1
empty	2
enabled	1
encased	1
encircling	2
encounter	2
encountered	14
encountering	1
encouraged	1
encouraging	1
encroaching	1
end	9
ended	5
endless	1
endurance	1
enemies	1
enemy	118
enemy’s	8
engage	1
engaged	2
engagements	1
engine	1
engineer	7
engineering	2
engineers	6
engines	1
england	1
english	1
enjoy	1
enlisted	4
enough	13
enroute	3
ensued	1
ensure	2
entanglements	1
entered	3
entering	1
enterprise	7
enterprise_’s	1
enthusiasm	1
entire	1
entry	1
environment	1
environs	1
epic	1
equal	3
equalled	1
equally	3
equator--hot	1
equipment	10
equipped	1
era	1
erected	1
ernest	1
erratic	1
errors	1
escape	5
escaped	1
escort	1
escorting	3
escorts	2
esperance	5
espiritu	6
essence	1
essential	4
essentially	3
establish	1
established	4
establishing	3
estate	1
estimated	2
estimates	1
eugene	2
europe	1
european	2
evacuate	1
evacuated	4
evacuation	6
evacuees	1
evangelical	1
evans	3
even	7
evening	1
event	3
events	2
eventually	4
ever	5
every	13
everyone	1
everything	3
everywhere	2
evidence	2
evidences	1
evolved	1
exacting	1
exactly	1
examines	1
excellent	1
exceptional	1
excessive	1
exchange	1
exchanges	1
exchanging	1
executed	1
executive	2
exercise	1
exercises	2
exhorting	1
existing	2
expand	2
expanded	2
expected	5
expedient	1
expedients	1
expedition	1
expeditionary	3
experience	4
experienced	6
experimented	1
expert	1
expertise	1
explained	1
exploding	1
exploit	1
exploited	1
exploits	1
explosive	2
express	4
extended	1
extensive	5
extensively	2
exterminate	1
extraordinary	1
extras	1
extreme	1
extremely	1
eye	1
eyes	1
f	8
f4f	3
f4fs	1
fabled	2
face	5
face-to-face	1
faced	3
facia	1
facilities	1
fact	8
factor	2
factories	1
failed	1
failing	2
faint	1
faithful	1
fall	1
fallen	1
fame	1
familiar	1
families	1
fan	1
far	2
faring	1
fascinated	1
fast	2
fast-burning	1
fatal	1
fate	1
fateful	1
fatigue	2
favor	1
favors	1
feared	1
fearlessly	1
feature	1
february	7
fed	2
feed	1
feel	1
feeling	1
feet	5
feight	1
fell	4
fellow	1
felt	3
ferrante	1
few	4
fewer	1
field	26
fields	2
fierce	3
fifty-cent	1
fifty-nine	1
fight	12
fighter	15
fighters	7
fighting	31
figure	1
figured	1
fiji	4
fijis	1
fill	2
filled	1
filtering	1
filters	1
final	14
finally	9
find	1
fine	1
finished	2
finishes	1
fire	39
fire--including	1
fired	13
firefight	3
firer’s	1
fires	2
firing	7
firm	1
firmly	2
first	56
first-needed	1
fish	1
fit	1
five	14
flag	3
flagship	4
flamethrowers	1
flank	14
flanked	1
flanking	2
flanks	3
flare	1
flares	1
flash-ranging	1
flat	1
flaws	1
fled	4
fleet	10
fleet’s	1
fletcher	8
fletcher’s	4
flew	9
flight	5
flights	2
float	2
flood	3
flood-damaged	1
florida	6
flown	3
flows	1
fly	3
flyable	1
flyers	7
flying	9
folding	1
foliage	2
follow	3
follow-on	1
followed	4
following	10
follows	2
folly	1
fomalhaut	1
fond	1
food	3
food--and	1
foot	1
foot-wide	1
for	182
forays	1
force	100
force--five	1
forced	9
forces	45
force’s	2
fore	1
foresaw	1
forest	2
forestalled	1
forestalling	1
forever	1
forget	2
form	2
formality	1
formative	1
formed	1
former	6
formidable	2
forming	1
forth	1
fortified	1
fortress	1
fortunate	1
fortunately	3
fortune-hunters	1
forward	24
foss	3
fought	9
fouling	1
found	12
foundered	1
four	25
four-star	1
fox	1
foxholes	3
fragmentation	2
francis	2
francisco	5
frank	13
franklin	2
frantically	1
fray	1
frazer	1
frederick	1
free	2
french	2
frenzied	3
frequent	4
frequently	2
fresh	5
fresh-caught	1
friday	1
friend	1
friendly	2
friends	3
fringing	1
frisbie	1
frise	1
from	149
front	15
frontispiece	1
frontline	4
frontlines	1
frustrated	1
frying	1
fuel	1
fulfill	1
full	8
full-scale	1
full-strength	1
fuller	1
fully	1
funds	1
fungal	1
fungus	1
furiously	1
furrowed	1
further	6
furutaka	1
fury	1
future	6
fuze	2
g	13
g-29536-413c	1
gain	1
gained	1
gaining	1
galer	2
gallant	2
gallantly	1
gallantry	2
game	2
gap	3
garand	2
garands	1
garbled	1
garrison	3
garrisons	1
gas	2
gasped	1
gastroenteritis	1
gathered	1
gave	10
gavutu	12
gear	4
geiger	7
geiger’s	1
gen	10
gendarmerie	1
general	103
generally	1
generals	1
general’s	2
geography	1
george	9
georgius	1
geraci	1
gerald	6
german	1
germany	2
germany’s	1
get	12
getting	4
ghormley	4
ghormley’s	4
gilberts	1
give	6
given	2
giving	2
glare	1
globe	1
glory	1
go	4
god	2
goettge	7
going	7
good	8
good.”--_benis	1
got	12
gotten	2
government	3
gradually	1
graduated	1
grady	1
grand	1
grandfather’s	1
grant	1
granted	1
grass	2
grateful	3
gratefully	1
gratified	1
grave	1
grease	1
great	8
greater	2
greatly	1
green	2
greet	1
greeted	1
grenade	11
grenades	1
grew	4
grief	1
griffith	3
griffiths	1
griffith’s	1
grimly	1
grip	1
