	0
old	6
old-fashioned	3
olive	6
on	85
once	17
one	77
one-half	1
one-tenth	1
ones	2
only	15
opening	7
openings	1
opportunity	1
or	93
orange	27
order	4
ordinary	1
original	1
other	13
others	5
otherwise	1
ounce	1
our	5
out	28
outfit	1
outlines	1
outside	2
oven	5
over	46
own	10
pace	1
pack	3
packed	3
page	21
pages	1
paid	4
pains	1
pair	2
pale	1
pan	134
pans	6
paper	34
papers	1
part	4
particular	6
particularly	1
parts	1
party	5
pass	1
passed	2
paste	7
pastes	9
pastry	1
patience	1
patrick	1
patrick's	1
patriotic	2
patting	1
peach	3
peanut	20
peanuts	35
pear	1
pecan	39
pecans	10
peel	3
peeled	1
penny	3
peppermint	11
peppermints	5
perfect	1
perfectly	3
persisted	1
pet	1
pick	1
picked	7
picking	2
piece	22
pieces	42
piling	1
pin	1
pinch	5
pineapple	2
pink	6
pinoche	5
pint	1
place	16
placed	46
placing	4
plain	28
plan	3
planning	2
plans	2
plate	1
plates	2
platter	5
please	1
pleased	4
pleasure	2
point	13
poor	3
pop	1
popcorn	30
popped	30
popper	1
popping	4
portion	4
portions	5
possible	3
pound	10
pour	17
poured	78
pouring	12
powder	2
powdered	33
power	1
practising	1
praise	1
preface	2
preferred	1
preferring	2
prepare	4
prepared	13
preparing	2
present	1
presented	1
preserved	1
preserves	2
press	2
pressed	17
pressing	1
pretty	11
prevent	2
previous	2
previously	2
pride	1
proceed	1
proceeded	2
processes	1
promised	1
properly	2
proportions	1
proud	1
prove	1
provide	1
provided	1
prunes	3
publishers	2
puffed	1
pull	8
pulled	14
pulling	5
punch	1
pupil	1
pupil's	1
purchase	1
pure	3
purpose	2
put	60
putting	10
puzzled	1
quantities	2
quantity	2
quarter	3
quarters	1
quarts	3
quick	4
quickly	49
quiet	1
quince	2
quite	10
quizzical	1
raisin	15
raisins	49
ran	1
rang	1
range	3
rapidly	2
raspberries	1
rather	1
rattled	3
re-placed	1
re-write	1
reached	12
reaches	2
read	1
readily	1
reading	1
ready	22
real	2
realize	1
really	5
reason	1
received	3
recipe	14
recipes	14
red	6
referring	1
refrigerator	1
regardless	1
regular	1
regulations	2
reheated	1
remainder	1
remarked	1
remember	1
remembered	3
remembering	1
remembrance	1
remove	8
removed	50
removing	24
repaid	3
replied	2
request	1
require	1
required	1
requiring	1
reserved	1
restless	1
result	1
results	2
ribbon	1
rich	4
right	10
rights	1
rind	3
roll	2
rolled	15
rolling	3
rolling-pin	1
room	1
rose	1
round	8
rules	2
run	2
rushing	1
s	1
saffron	1
said	18
sale	1
salt	9
salted	11
same	8
sandwiches	1
satisfied	1
saturday	3
saucepan	100
saucepans	2
save	1
saved	1
saving	1
saw	2
say	2
saying	1
scales	1
school	3
schoolmates	2
science	3
scissors	8
scotch	6
second	2
secured	1
see	12
seed	1
seeded	8
seeds	5
seeing	1
seemed	3
sent	2
separate	3
separated	3
september	1
series	1
serve	1
set	3
seventh	1
several	1
sewing	3
shade	1
shades	1
shake	1
shaker	1
shaking	1
shallow	3
shamrock	2
shape	3
shaped	4
shapes	1
shaping	2
share	2
shared	1
sharp	12
sharp-pointed	2
she	360
sheet	2
shell	2
shelled	25
shiny	1
shook	5
shop	1
shopping	1
shorn	1
short	3
should	6
show	1
showed	3
side	12
sides	5
sifted	7
sifting	1
sighed	1
silver	6
simonds	1
simple	5
simply	2
since	4
sitting	1
six	4
sixth	1
sixty	1
size	12
skins	10
slab	5
sliced	1
slicing	1
slightly	1
slip	2
slipped	2
slit	3
slitting	3
slow	2
slowly	15
small	52
smells	1
smile	1
smiled	2
smooth	9
snowflakes	1
so	69
soak	1
soaked	2
society	2
soda	3
soft	62
soften	2
softened	2
sold	1
soldier-boys	1
soldiers	1
solid	1
solidifying	1
solidly	1
some	25
something	1
sometimes	15
soon	15
sorts	2
sour	4
source	1
spare	2
sparingly	1
special	5
specially	1
spend	1
spent	2
spin	2
spinach	1
spit	1
spite	1
splendid	3
split	2
spoiled	1
spoon	10
spoonful	1
spoons	1
spread	5
spring	2
sprinkle	5
sprinkled	6
spun	1
square	2
squares	100
squeezed	1
st	5
stage	13
stages	1
stalks	1
stand	8
standing	6
stars	1
start	1
started	3
states	3
stayed	1
steady	1
steel	1
stem	4
stems	3
step	1
stick	7
sticks	3
sticky	5
stiff	1
stiffly	2
still	6
still--that	1
stir	11
stirred	18
stirring	18
stock	1
stone	7
stoned	4
stones	3
stood	18
stop	2
stopped	3
story	2
story-book	1
stove	17
strain	8
strained	7
strainer	2
strange	1
strawberries	1
strawberry	2
strips	1
strong	12
strongly	1
strung	1
stuck	2
study	2
stuff	1
stuffed	33
style	1
substitute	2
substitutes	5
such	8
sufficient	5
sufficiently	9
sugar	312
sugar--then	1
sugary	1
suggested	2
suggestions	2
sultana	3
summer	1
supply	1
suppose	1
sure	6
surely	1
surprise	2
surprised	2
sweet	7
sweetheart	1
sweetmeat	1
sweetmeats	1
sweets	2
syrup	118
table	8
tablespoon	61
tablespoons	35
tabourette	1
taffy	10
take	6
taken	3
taking	14
talking	2
tap	1
